Company,Symbol,Current Price,Market Cap,Dividend,Yield,52-Week Return
Xilinx Inc,XLNX,60.06,$15B,1.32,2.20%,-0.50%
Dover Corp.,DOV,79.94,$12.4B,1.76,2.20%,6.70%
The Travelers Companies Inc.,TRV,121.95,$34.1B,2.68,2.20%,-0.40%
Boston Properties,BXP,137.19,$21.1B,3,2.19%,9.10%
Assurant Inc,AIZ,96.75,$5.4B,2.12,2.19%,4.20%
Medtronic plc,MDT,78.88,$108.3B,1.72,2.18%,10.70%
Deere & Co.,DE,110.27,$35.1B,2.4,2.18%,7.00%
Patterson Companies,PDCO,44.08,$4.3B,0.96,2.18%,7.40%
"Analog Devices, Inc.",ADI,82.48,$25.5B,1.8,2.18%,13.60%
Colgate-Palmolive,CL,71.98,$64B,1.56,2.17%,10.00%
CME Group Inc.,CME,122.62,$41.6B,2.64,2.15%,6.30%
American Tower Corp A,AMT,108.11,$46B,2.32,2.15%,2.30%
Equinix,EQIX,374.28,$26.7B,8,2.14%,4.70%
Honeywell Int'l Inc.,HON,124.56,$94.8B,2.66,2.14%,7.50%
JPMorgan Chase & Co.,JPM,90.23,$322.9B,1.92,2.13%,4.60%
Eaton Corporation,ETN,71.63,$32.4B,1.52,2.12%,6.80%
Republic Services Inc,RSG,60.75,$20.6B,1.28,2.11%,6.50%
Intl Flavors & Fragrances,IFF,122.37,$9.7B,2.56,2.09%,3.90%
Wynn Resorts Ltd,WYNN,95.91,$9.8B,2,2.09%,10.90%
Tiffany & Co.,TIF,86.18,$10.7B,1.8,2.09%,11.30%
Avery Dennison Corp,AVY,79.41,$7.1B,1.64,2.07%,13.10%
"American International Group, Inc.",AIG,62.5,$62.2B,1.28,2.05%,-4.30%
U.S. Bancorp,USB,54.88,$93.1B,1.12,2.04%,6.80%
American Water Works Company Inc,AWK,73.81,$13.1B,1.5,2.03%,2.00%
Fifth Third Bancorp,FITB,27.54,$20.7B,0.56,2.03%,2.10%
Chubb Limited,CB,136.19,$63.5B,2.76,2.03%,3.10%
Linear Technology Corp.,LLTC,64.92,$15.6B,1.32,2.03%,4.10%
ConAgra Foods Inc.,CAG,39.61,$17.2B,0.8,2.02%,0.20%
Royal Caribbean Cruises Ltd,RCL,95.21,$20.4B,1.92,2.02%,16.10%
Microchip Technology,MCHP,71.68,$15.5B,1.44,2.01%,11.70%
Illinois Tool Works,ITW,130.31,$45.2B,2.6,2.00%,6.40%
Rockwell Automation Inc.,ROK,151.92,$19.5B,3.04,2.00%,13.00%
Accenture plc,ACN,121.23,$75.5B,2.42,2.00%,3.50%
Norfolk Southern Corp.,NSC,122.78,$35.7B,2.44,1.99%,13.60%
Robert Half International,RHI,48.59,$6.2B,0.96,1.98%,-0.40%
Monsanto Co.,MON,109,$47.8B,2.16,1.98%,3.60%
Ingersoll-Rand PLC,IR,80.99,$21B,1.6,1.98%,7.90%
TE Connectivity Ltd.,TEL,75.21,$26.7B,1.48,1.97%,8.60%
Du Pont (E.I.),DD,77.49,$67B,1.52,1.96%,5.60%
Harris Corporation,HRS,109.46,$13.6B,2.12,1.94%,6.80%
Broadcom,AVGO,210.41,$83.9B,4.08,1.94%,19.00%
Hess Corporation,HES,51.75,$16.4B,1,1.93%,-16.90%
McCormick & Co.,MKC,97.59,$12.2B,1.88,1.93%,4.60%
Home Depot,HD,143,$174.2B,2.76,1.93%,6.70%
Raytheon Co.,RTN,152.86,$44.8B,2.93,1.92%,7.60%
Grainger (W.W.) Inc.,GWW,254.96,$15B,4.88,1.91%,9.80%
Hartford Financial Svc.Gp.,HIG,48.36,$18.1B,0.92,1.90%,1.50%
Mead Johnson,MJN,87.5,$16B,1.65,1.89%,23.70%
NetApp,NTAP,40.17,$11.1B,0.76,1.89%,13.90%
Franklin Resources,BEN,42.53,$24B,0.8,1.88%,7.50%
State Street Corp.,STT,80.67,$30.8B,1.52,1.88%,3.80%
Quest Diagnostics,DGX,95.64,$13.3B,1.8,1.88%,4.10%
Dun & Bradstreet,DNB,108.2,$4B,2.01,1.86%,-10.80%
Marsh & McLennan,MMC,73.52,$37.8B,1.36,1.85%,8.80%
Allstate Corp,ALL,80.44,$29.4B,1.48,1.84%,8.50%
Hormel Foods Corp.,HRL,37.26,$19.7B,0.68,1.83%,7.00%
Stanley Black & Decker,SWK,126.65,$19.3B,2.32,1.83%,10.40%
Lowe's Cos.,LOW,76.74,$66.8B,1.4,1.82%,7.90%
Viacom Inc.,VIAB,43.99,$17.6B,0.8,1.82%,25.30%
Whole Foods Market,WFM,30.91,$9.8B,0.56,1.81%,0.50%
Apache Corporation,APA,55.44,$21B,1,1.80%,-12.70%
NASDAQ OMX Group,NDAQ,71.51,$11.8B,1.28,1.79%,6.50%
KeyCorp,KEY,18.96,$20.5B,0.34,1.79%,3.80%
Mondelez International,MDLZ,42.5,$65.6B,0.76,1.79%,-4.10%
Progressive Corp.,PGR,38.57,$22.4B,0.68,1.77%,8.60%
Foot Locker Inc,FL,71,$9.4B,1.24,1.75%,0.20%
SunTrust Banks,STI,59.59,$29.3B,1.04,1.75%,8.60%
Walgreens Boots Alliance,WBA,85.86,$92.7B,1.5,1.75%,3.70%
Yum! Brands Inc,YUM,68.4,$25.1B,1.2,1.75%,8.00%
Capital One Financial,COF,91.81,$44.1B,1.6,1.74%,5.20%
Starbucks Corp.,SBUX,57.35,$83.6B,1,1.74%,3.30%
Northern Trust Corp.,NTRS,87.2,$19.9B,1.52,1.74%,-2.10%
Morgan Stanley,MS,46.15,$85.5B,0.8,1.73%,9.20%
PNC Financial Services,PNC,126.86,$61.5B,2.2,1.73%,8.50%
Parker-Hannifin,PH,153.89,$20.5B,2.64,1.72%,9.90%
Regions Financial Corp.,RF,15.38,$18.7B,0.26,1.69%,7.10%
Discover Financial Services,DFS,71.3,$27.7B,1.2,1.68%,-1.10%
Apple Inc.,AAPL,135.72,$712.1B,2.28,1.68%,17.20%
Pulte Homes Inc.,PHM,21.4,$6.8B,0.36,1.68%,16.40%
M&T Bank Corp.,MTB,167.91,$26B,2.8,1.67%,7.30%
Time Warner Inc.,TWX,96.48,$74.5B,1.61,1.67%,-0.10%
Snap-On Inc.,SNA,172.57,$10B,2.84,1.65%,0.80%
Willis Towers Watson,WLTW,128.35,$17.5B,2.12,1.65%,5.00%
Unum Group,UNM,48.51,$11.1B,0.8,1.65%,10.40%
FLIR Systems,FLIR,36.62,$5B,0.6,1.64%,1.20%
Newell Brands,NWL,46.64,$22.5B,0.76,1.63%,4.50%
Anthem Inc.,ANTM,160.25,$42.2B,2.6,1.62%,11.50%
Lincoln National,LNC,71.69,$16.4B,1.16,1.62%,8.20%
Molson Coors Brewing Company,TAP,101.59,$21.9B,1.64,1.61%,4.40%
General Dynamics,GD,189.06,$57.2B,3.04,1.61%,9.50%
AmerisourceBergen Corp,ABC,90.76,$19.7B,1.46,1.61%,16.10%
American Express Co,AXP,79.71,$73B,1.28,1.61%,7.60%
The Bank of New York Mellon Corp.,BK,47.14,$49.4B,0.76,1.61%,-0.50%
Becton Dickinson,BDX,180.9,$38.5B,2.92,1.61%,9.30%
Estee Lauder Cos.,EL,85,$31.1B,1.36,1.60%,11.10%
Aetna Inc,AET,125.27,$44B,2,1.60%,1.00%
United Health Group Inc.,UNH,157.62,$149.9B,2.5,1.59%,-1.50%
Scripps Networks Interactive Inc.,SNI,76.04,$9.8B,1.2,1.58%,6.50%
Delta Air Lines,DAL,51.23,$37.4B,0.81,1.58%,4.10%
Flowserve Corporation,FLS,48.37,$6.3B,0.76,1.57%,0.70%
Lam Research,LRCX,114.9,$18.7B,1.8,1.57%,8.70%
PPG Industries,PPG,102.37,$27B,1.6,1.56%,8.00%
Delphi Automotive,DLPH,75.46,$20.3B,1.16,1.54%,12.00%
News Corp. Class A,NWSA,13.08,$7.7B,0.2,1.53%,14.10%
Church & Dwight,CHD,49.7,$12.9B,0.76,1.53%,12.50%
Kansas City Southern,KSU,86.89,$9.3B,1.32,1.52%,2.40%
Xylem Inc.,XYL,47.8,$8.6B,0.72,1.51%,-3.50%
Brown-Forman Corporation,BF.B,48.2,$18.7B,0.73,1.51%,7.30%
Fluor Corp.,FLR,56.43,$7.9B,0.84,1.49%,7.40%
Northrop Grumman Corp.,NOC,243.58,$42.5B,3.6,1.48%,4.70%
Citizens Financial Group,CFG,37.84,$19.4B,0.56,1.48%,6.20%
CSX Corp.,CSX,48.54,$45B,0.72,1.48%,35.10%
News Corp. Class B,NWS,13.5,$7.7B,0.2,1.48%,14.40%
Oracle Corp.,ORCL,42.06,$172.7B,0.6,1.43%,9.40%
Expeditors Int'l,EXPD,56.5,$10.2B,0.8,1.42%,6.70%
Synchrony Financial,SYF,36.68,$30.3B,0.52,1.42%,1.10%
The Walt Disney Company,DIS,110.06,$174B,1.56,1.42%,5.60%
Signet Jewelers,SIG,73.91,$5.1B,1.04,1.41%,-21.60%
Juniper Networks,JNPR,28.39,$10.8B,0.4,1.41%,0.50%
Fidelity National Information Services,FIS,82.05,$26.9B,1.16,1.41%,8.50%
Kroger Co.,KR,34.01,$36.9B,0.48,1.41%,-1.40%
Rockwell Collins,COL,93.46,$12.2B,1.32,1.41%,0.80%
PACCAR Inc.,PCAR,68.85,$24.1B,0.96,1.39%,7.70%
Tyson Foods,TSN,65.26,$22.8B,0.9,1.38%,5.80%
Intercontinental Exchange,ICE,58.4,$34.8B,0.8,1.37%,3.50%
TJX Companies Inc.,TJX,77.19,$50.3B,1.04,1.35%,2.70%
Moody's Corp,MCO,112.9,$21.6B,1.52,1.35%,19.80%
Stryker Corp.,SYK,126.34,$47.1B,1.7,1.35%,5.50%
Marriott Int'l.,MAR,89.36,$34.9B,1.2,1.34%,8.10%
Sealed Air,SEE,47.76,$9.2B,0.64,1.34%,5.30%
Halliburton Co.,HAL,53.71,$46.6B,0.72,1.34%,-0.70%
Albemarle Corp,ALB,91.92,$10.3B,1.22,1.33%,6.80%
Tractor Supply Company,TSCO,72.18,$9.5B,0.96,1.33%,-4.80%
CSRA Inc.,CSRA,30.02,$4.9B,0.4,1.33%,-5.70%
BorgWarner,BWA,42.38,$9B,0.56,1.32%,7.50%
D. R. Horton,DHI,30.49,$11.4B,0.4,1.31%,11.60%
Dollar General,DG,77.67,$21.5B,1,1.29%,4.90%
Comerica Inc.,CMA,72.37,$12.7B,0.92,1.27%,6.30%
Nike,NKE,56.75,$93.9B,0.72,1.27%,11.60%
Fortune Brands Home & Security,FBHS,57.06,$8.8B,0.72,1.26%,6.70%
Harman Int'l Industries,HAR,111.01,$7.8B,1.4,1.26%,-0.10%
"S&P Global, Inc.",SPGI,130.39,$33.7B,1.64,1.26%,21.20%
Alaska Air Group Inc,ALK,96.6,$11.9B,1.2,1.24%,8.90%
Marathon Oil Corp.,MRO,16.23,$13.8B,0.2,1.23%,-6.20%
Bed Bath & Beyond,BBBY,41.14,$6.2B,0.5,1.22%,1.20%
Bank of America Corp,BAC,24.52,$248.2B,0.3,1.22%,11.00%
Equifax Inc.,EFX,130.14,$15.6B,1.56,1.20%,10.10%
Twenty-First Century Fox Class B,FOX,29.92,$55.8B,0.36,1.20%,9.80%
Masco Corp.,MAS,33.52,$10.7B,0.4,1.19%,6.00%
Twenty-First Century Fox Class A,FOXA,30.35,$55.8B,0.36,1.19%,8.20%
Ecolab Inc.,ECL,123.95,$36.1B,1.48,1.19%,5.70%
Skyworks Solutions,SWKS,96.35,$17.8B,1.12,1.16%,29.10%
FMC Corporation,FMC,58.23,$7.8B,0.66,1.13%,3.00%
Intuit Inc.,INTU,119.86,$30.8B,1.36,1.13%,4.60%
Baker Hughes Inc,BHI,60.76,$25.8B,0.68,1.12%,-6.50%
Aon plc,AON,117.53,$30.9B,1.32,1.12%,5.40%
Applied Materials Inc,AMAT,35.67,$38.4B,0.4,1.12%,10.50%
Cintas Corporation,CTAS,118.61,$12.5B,1.33,1.12%,2.60%
Goodyear Tire & Rubber,GT,36.07,$9.1B,0.4,1.11%,16.80%
CBS Corp.,CBS,65.69,$28.3B,0.72,1.10%,3.30%
Sherwin-Williams,SHW,311.35,$28.9B,3.4,1.09%,15.90%
Noble Energy Inc,NBL,37.05,$16B,0.4,1.08%,-2.70%
Hewlett Packard Enterprise,HPE,24.4,$40.6B,0.26,1.07%,5.40%
Citigroup Inc.,C,60.17,$171.5B,0.64,1.06%,1.20%
Baxter International Inc.,BAX,49.73,$27B,0.52,1.05%,12.20%
Symantec Corp.,SYMC,28.8,$17.8B,0.3,1.04%,20.60%
