Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
MBFI,MB Financial Inc.,45.2,0.76,1.6799,12/13/16,12/30/16
MBRG,Middleburg Financial Corporation,35.59,0.52,1.4664,2/8/17,2/24/17
MBSD,FlexShares Trust,24.1448,0.729588,3.0324,2/1/17,2/7/17
MBTF,M B T Financial Corp,11,0.2,27.6498,2/10/17,2/21/17
MBVT,Merchants Bancshares Inc.,51.85,1.12,2.1559,2/7/17,2/23/17
MBWM,Mercantile Bank Corporation,33.45,0.68,2.0538,12/7/16,12/21/16
MCBC,Macatawa Bank Corporation,10.19,0.16,1.5748,2/9/17,2/28/17
MCEF,First Trust Exchange-Traded Fund VIII,18.5,0.72,3.8919,1/20/17,1/31/17
MCHI,iShares Trust,49.01,0.841788,1.7096,12/21/16,12/28/16
MCHP,Microchip Technology Incorporated,71.68,1.444,2.0137,2/16/17,3/7/17
MDIV,First Trust Exchange-Traded Fund VI,19.71,0.7836,3.9696,1/20/17,1/31/17
MDLZ,Mondelez International Inc.,42.5,0.76,1.7593,12/28/16,1/12/17
MELI,MercadoLibre Inc.,198.43,0.6,0.303,12/28/16,1/16/17
MENT,Mentor Graphics Corporation,36.92,0.22,0.5962,12/6/16,1/3/17
MEOH,Methanex Corporation,50.55,1.1,2.2392,12/14/16,12/31/16
MERC,Mercer International Inc.,12.5,0.46,3.7398,12/20/16,1/4/17
MFIN,Medallion Financial Corp.,2.32,0.2,8.8889,11/28/16,12/7/16
MFNC,Mackinac Financial Corporation,13.5822,0.4,2.945,12/23/16,1/9/17
MFSF,MutualFirst Financial Inc.,31.45,0.64,2.0847,12/7/16,12/23/16
MGEE,MGE Energy Inc.,63.45,1.23,1.9401,11/29/16,12/15/16
MGPI,MGP Ingredients Inc.,44.05,0.08,0.1826,11/9/16,12/8/16
MGRC,McGrath RentCorp,38.78,1.02,2.6329,1/12/17,1/31/17
MHLD,Maiden Holdings Ltd.,16.75,0.6,3.5294,12/29/16,1/17/17
MILN,Global X Funds,16.4501,0.049647,0.3024,12/28/16,1/6/17
MINI,Mobile Mini Inc.,33.4,0.824,2.4451,11/7/16,11/30/16
MKSI,MKS Instruments Inc.,67.4,0.68,1.0097,11/23/16,12/9/16
MKTX,MarketAxess Holdings Inc.,193.08,1.32,0.6886,2/7/17,2/23/17
MLAB,Mesa Laboratories Inc.,123.02,0.64,0.5237,11/28/16,12/15/16
MLHR,Herman Miller Inc.,30.15,0.68,2.2368,11/30/16,1/15/17
MMLP,Martin Midstream Partners L.P.,18.7,2,10.7239,2/3/17,2/14/17
MNRO,Monro Muffler Brake Inc.,57.6,0.68,1.1826,12/9/16,12/23/16
MOCO,MOCON Inc.,19.9,0.44,2.2034,2/8/17,2/24/17
MOFG,MidWestOne Financial Group Inc.,36.45,0.64,1.7372,11/29/16,12/15/16
MORN,Morningstar Inc.,79.93,0.92,1.1578,1/4/17,1/31/17
MPB,Mid Penn Bancorp,26.45,0.52,1.9697,2/6/17,2/27/17
MPCT,iShares Trust,50.42,0.82132,1.629,12/21/16,12/28/16
MPWR,Monolithic Power Systems Inc.,86.52,0.8,0.9285,12/28/16,1/13/17
MRCC,Monroe Capital Corporation,15.79,1.4,8.8384,12/13/16,12/30/16
MRLN,Marlin Business Services Corp.,24.15,0.56,2.3285,2/2/17,2/16/17
MRTN,Marten Transport Ltd.,23.9,0.1,0.4167,12/12/16,12/28/16
MRVL,Marvell Technology Group Ltd.,15.81,0.24,1.5199,12/2/16,12/28/16
MSBI,Midland States Bancorp Inc.,35.14,0.8,2.2989,2/15/17,2/24/17
MSEX,Middlesex Water Company,35.5,0.845,2.3343,2/9/17,3/1/17
MSFG,MainSource Financial Group Inc.,34.63,0.64,1.8567,12/1/16,12/15/16
MSFT,Microsoft Corporation,64.62,1.56,2.4179,2/14/17,3/9/17
MTGE,MTGE Investment Corp.,16,1.6,9.8462,12/28/16,1/27/17
MTSC,MTS Systems Corporation,56.15,1.2,2.1505,12/15/16,1/3/17
MXIM,Maxim Integrated Products Inc.,45.11,1.32,2.9314,11/29/16,12/15/16
